num,name,address,Latitude,Longitude,Phone 
161,가산그레이트밸리,서울 금천구 디지털로9길 32,37.4794491,126.8874768,02-866-7119
160,서울시립대학교,서울특별시 동대문구 서울시립대로 163,37.583383,127.0593032,02-6460-5866
159,방학역,서울특별시 도봉구 도봉로 684,37.6653669,127.0434778,02-956-1237
158,덕성여대,서울특별시 도봉구 삼양로 538,37.6510179,127.0131597,02-6369-1990
157,중곡역,서울시 광진구 중곡동 30-80,37.5639686,127.0858328,02-456-9665
156,충무로,서울 중구 퇴계로 197,37.561391,126.9939127,02-2277-0883
155,신림,서울 관악구 신림로 318,37.4825364,126.9302452,02-888-8884
154,은평구청,서울시 은평구 은평로 200-1,37.6009828,126.9300214,02-388-1479
153,중계은행사거리,서울특별시 노원구 한글비석로 269,37.6516789,127.0767715,02-952-2266
152,테헤란로,서울특별시 강남구 테헤란로 314 지하1층,37.5045703,127.0494465,02-555-1014
151,상봉역,서울특별시 중랑구 망우로 316,37.5964462,127.0875204,02-432-2938
150,신정네거리역,서울특별시 양천구 중앙로 265,37.5198838,126.8526862,02-2607-9979
149,애오개역,서울특별시 마포구 마포대로 180,37.5501253,126.9555105,02-702-7672
148,정릉,서울 성북구 보국문로 40,37.6080982,127.0102489,02-6498-8889
147,신금호역,서울 성동구 금호로 173,37.5562227,127.0197352,02-2235-6392
146,천호역,서울 강동구 천호대로 1012,37.5378216,127.1242994,02-483-1079
145,학동역,서울 강남구 학동로 171,37.5139927,127.0295588,02-515-1014
144,노량진역,서울 동작구 노량진로 152-1,37.5134095,126.9428253,02-815-1014
143,상일동,서울특별시 강동구 상일로6길 21,37.5530573,127.1724614,070-8800-0217
142,구로NC,서울특별시 구로구 구로중앙로 152,37.5012056,126.8827953,02-6923-2155
141,묵동,서울특별시 중랑구 동일로 952 101-1호,37.6154214,127.0766741,02-978-3434
140,등촌역,서울특별시 양천구 공항대로 552 101호,37.5493676,126.8668987,02-6053-2543
139,수서역,서울특별시 강남구 밤고개로 1길 10 B1,37.4879855,127.1017774,02-445-1636
138,길동역,"서울특별시 강동구 길동 389-2 길동 1층 103,110호",37.5372792,127.1393753,02-470-6032
137,석촌역,"서울특별시 송파구 송파대로 438 106호, 107호",37.5058777,127.1069921,02-420-4320
136,쌍문역,"서울특별시 도봉구 도봉로 468 1층 102호, 102-1호",37.6474337,127.0344022,02-999-5906
135,명지대,서울특별시 서대문구 거북골로 23,37.5799678,126.9248369,02-374-7300
134,삼양솔샘,서울특별시 강북구 삼양로 162,37.618381,127.0216167,02-6952-3399
133,낙성대역,서울특별시 관악구 남부순환로 1904,37.4778262,126.9606782,02-877-6687
132,봉은사역,서울특별시 강남구 봉은사로 627,37.5150756,127.0640435,02-545-5729
131,석촌호수,서울특별시 송파구 석촌호수로 298,37.511509,127.1081523,02-424-0020
130,대림삼거리,서울특별시 영등포구 시흥대로 681 삼성YJ그랜드빌딩 신관동 1층,37.4922947,126.908764,02-847-8255
129,왕십리역,서울특별시 성동구 왕십리로 328,37.5627886,127.0333904,02-2295-1800
128,포이사거리,서울특별시 강남구 논현로 84 1층,37.4775056,127.0452669,02-577-5227
127,동덕여대,서울특별시 성북구 화랑로13길 10,37.6038529,127.0427326,02-6404-2212
126,당산역,서울특별시 영등포구 양평로 58,37.5347454,126.9006169,02-2636-1014
125,송파역,서울특별시 송파구 송파대로 374,37.5012897,127.1112042,02-420-2160
124,선유도역,서울특별시 영등포구 양평로 121,37.5375678,126.8940931,02-2632-1232
123,잠실역,서울특별시 송파구 올림픽로 293-19,37.5150873,127.1024685,02-2202-1300
122,독립문,서울특별시 종로구 송월길 155 경희궁자이4단지 상가 1층 4104-4106호,37.5714356,126.9615273,02-730-8255
121,가양역,서울특별시 강서구 양천로 470 그레이스힐,37.561922,126.8525375,02-2668-6777
120,양천향교역,"서울특별시 강서구 강서로 471 엠코지니어스타 A동 1층 109, 110호",37.5677998,126.8404781,02-3662-6697
119,정동,서울특별시 중구 새문안로 30,37.5678057,126.9690782,02-737-0808
118,여의도화재보험,서울특별시 영등포구 국제금융로 6길 38,37.5213452,126.9259819,02-6951-1118
117,선정릉역,서울특별시 강남구 봉은사로 328,37.5096882,127.042897,02-555-9389
116,약수역,서울특별시 중구 다산로 153,37.5574075,127.0118331,02-2256-9891
115,동대문역,서울특별시 종로구 종로 263-1,37.5713402,127.0072047,02-747-9809
114,장안사거리,서울특별시 동대문구 답십리로 293,37.5724575,127.0730343,02-3390-4970
113,군자역,서울특별시 광진구 능동로 290 삼일빌딩,37.5555903,127.0790595,02-456-6444
112,신설동역,서울특별시 동대문구 왕산로 15-1,37.5764932,127.0252568,02-928-0258
111,동양미래대,서울특별시 구로구 경인로 445  동양미래대 8호관,37.5000326,126.8680013,02-2686-6890
110,고덕역,서울특별시 강동구 동남로 75길 13-10,37.5538725,127.1550373,02-427-0217
109,상암DMC푸르지오시티,서울특별시 마포구 월드컵북로54길 25 상암DMC 푸르지오시티 103호,37.5815202,126.8891184,02-303-4566
108,광장,서울특별시 광진구 아차산로 480,37.5404369,127.0951999,02-455-2224
107,신논현,서울특별시 서초구 강남대로 499,37.5064791,127.0230315,02-544-1014
106,압구정역,서울특별시 강남구 압구정로 28길 13,37.5256281,127.0278366,02-548-1014
105,서초법원,서울특별시 서초구 법원로1길 1,37.4931985,127.0103638,02-595-1718
104,선릉,서울특별시 강남구 테헤란로 337,37.5047331,127.0484548,02-557-5004
103,가산디지털단지,서울특별시 금천구 가산디지털1로 165 가산비지니스센터 102호,37.4801705,126.8811402,02-1544-1852
102,언주역,서울특별시 강남구 봉은사로 206  대명빌딩,37.5072035,127.0346414,02-557-8805
101,여의도KBS 본관,서울특별시 영등포구 국회대로62길 25 교육시설재난공제회관,37.5262759,126.9177079,02-782-1518
100,독산,서울특별시 금천구 시흥대로 399 1층 112호,37.4693273,126.8970414,02-803-2346
99,발산역,서울특별시 강서구 마곡중앙6로 93,37.5594238,126.8265243,02-3663-6837
98,문정역,서울특별시 송파구 법원로 114 현대엠스테이트 C동 119호,37.4859826,127.1197497,02-3012-1259
97,문래,서울특별시 영등포구 선유로 70,37.520121,126.8901425,02-2637-3002
96,삼성,서울특별시 강남구 삼성로 520,37.5086584,127.0559006,02-2051-2008
95,노량진,서울특별시 동작구 노량진로 166,37.5134185,126.944644,02-812-1014
94,여의도국회의사당,서울특별시 영등포구 국회대로 70길 19,37.5291796,126.9208236,02-761-1003
93,역삼,서울특별시 강남구 테헤란로 25길 20,37.501607,127.0356262,02-501-1554
92,강동성심병원,서울특별시 강동구 성안로 147,37.5364223,127.1345695,02-476-1131
91,천호,서울특별시 강동구 올림픽로 664,37.540481,127.1249608,02-485-1077
90,양천구청,서울특별시 양천구 목동서로 349 센트럴프라자,37.5173729,126.8653092,02-2652-2521
89,강남우성,서울특별시 강남구 강남대로66길 6,37.4916117,127.0314542,02-553-5232
88,논현역,서울특별시 서초구 강남대로 535 프린스빌딩,37.509564,127.0215808,02-512-1014
87,영등포,서울특별시 영등포구 영중로 25,37.5184777,126.9053285,02-2635-5255
86,잠실새내역,서울특별시 송파구 올림픽로 130,37.5113327,127.0849798,02-425-5582
85,보라매,서울특별시 동작구 보라매로3길 29 해태보라매타워,37.491172,126.9249803,02-832-2522
84,문정법조,서울특별시 송파구 충민로 5 송파한화오벨리스크,37.480465,127.1196923,02-403-7344
83,신림역,서울특별시 관악구 신림로 344 SK허브그린,37.4850739,126.929952,02-888-4455
82,오목교,서울특별시 양천구 오목로 315,37.5250882,126.8727111,02-2644-5368
81,목동역,서울특별시 양천구 오목로 238 론드사옥,37.525851,126.8639341,02-2603-5368
80,교대,서울특별시 서초구 서초중앙로22길 47 문화빌딩,37.493517,127.016607,02-581-0696
79,신사,서울특별시 강남구 도산대로 124 대영빌딩,37.5167639,127.0224944,02-546-2007
78,대청,서울특별시 강남구 일원로3길 4,37.4909969,127.0811638,02-459-7975
77,숭실대,서울특별시 동작구 사당로 12-1,37.495241,126.9558049,02-812-3552
76,화곡역,서울특별시 강서구 강서로 159-1,37.5409671,126.8406143,02-2603-5353
75,방배,서울특별시 서초구 효령로 111 1층,37.4812912,126.996167,02-896-6000
74,중앙대,서울특별시 동작구 흑석로 79,37.5069892,126.9584078,02-815-6429
73,서울대,서울특별시 관악구 관악로 156,37.4790837,126.9526808,02-887-6887
72,구로디지털,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리 2차 109호,37.4842333,126.8992725,02-2088-7279
71,강남역,서울특별시 강남구 강남대로96길 12,37.4997005,127.0280598,02-557-4727
70,구산역,서울특별시 은평구 서오릉로 150,37.6119083,126.9165553,02-355-4650
69,동대문역사문화공원역,서울특별시 중구 장충단로 227-2 1~2F,37.5650533,127.0071648,02-2269-2100
68,국민대학교,서울특별시 성북구 정릉로 77,37.6108694,126.9972889,02-910-6895
67,명동성당,서울특별시 중구 명동길 74 명동성당 B118호,37.563177,126.9873604,02-318-6202
66,건대입구,서울특별시 광진구 아차산로 241 연한빌딩 102호,37.5404666,127.0701365,02-499-9292
65,성수역,서울특별시 성동구 아차산로 113,37.5446009,127.0568847,02-497-2800
64,상왕십리,서울 성동구 상왕십리동 806-2 센트라스,37.5652746,127.023979,02-2296-9898
63,서울숲,서울특별시 성동구 왕십리로 108-1,37.5472976,127.0447623,02-499-2900
62,아차산역,서울특별시 광진구 천호대로 666,37.551265,127.0892451,02-455-5440
61,북촌,서울특별시 종로구 율곡로 67,37.5772595,126.9865805,02-747-4400
60,용산아이파크몰,서울특별시 용산구 한강대로23길 55,37.5288539,126.9640447,02-2012-0406
59,미아역,서울특별시 강북구 도봉로 209,37.6272195,127.0254648,02-946-1596
58,용산전자랜드,서울특별시 용산구 청파로 74 전자랜드 본관 A동 104호,37.5328642,126.9596117,02-706-6227
